"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Mar 14 12:20:11 UTC 2025","Fri Mar 14 12:20:12 UTC 2025","1134","","tests.ui.GoogleSearchTest","","tests.ui.GoogleSearchTest","googleSearchShouldWork","googleSearchShouldWork()",""
"passed","Fri Mar 14 12:20:11 UTC 2025","Fri Mar 14 12:20:11 UTC 2025","512","","tests.api.WireMockTest","","tests.api.WireMockTest","testMockedApiResponse","testMockedApiResponse()",""
"passed","Fri Mar 14 12:20:07 UTC 2025","Fri Mar 14 12:20:09 UTC 2025","2800","","tests.api.ApiTest","","tests.api.ApiTest","getPostShouldReturnCorrectData","getPostShouldReturnCorrectData()",""
